ObjectID,Longitude,Latitude,DOS,DOE,DOA,DOM
Winter Barley_2006_-3.294_56.167_453,-3.294308097,56.16724767,2005-08-24,,,
Winter Barley_2009_-3.136_56.184_86360,-3.135855179,56.18370453,2008-09-12,,2009-06-19,
Winter Barley_2011_-2.25_57.001_88887,-2.250146173,57.00052037,2011-09-29,,,
Winter Barley_2012_-2.25_57.001_1097,-2.250146173,57.00052037,2011-08-18,,,
Winter Barley_2012_-2.354_56.808_1109,-2.353916926,56.80846083,2011-09-28,,,
Winter Barley_2012_-2.354_56.808_91795,-2.353916926,56.80846083,2011-08-10,,2012-06-14,
Winter Barley_2012_-2.617_56.601_20258,-2.617229826,56.60069543,2011-09-07,,2012-06-14,
Winter Barley_2012_-3.197_56.36_19892,-3.19652144,56.35994363,2011-09-12,,,
Winter Barley_2013_-2.354_56.808_91802,-2.353916926,56.80846083,2012-09-19,,2013-07-01,
Winter Barley_2013_-3.197_56.36_91803,-3.19652144,56.35994363,2012-09-11,,2013-06-11,
Winter Barley_2014_-2.204_57.369_91917,-2.203642079,57.36927809,2013-09-28,,,
Winter Barley_2014_-2.354_56.808_144095,-2.353916926,56.80846083,2013-09-18,,,
Winter Barley_2014_-2.354_56.808_144130,-2.353916926,56.80846083,2013-08-21,,,
Winter Barley_2014_-2.354_56.808_19736,-2.353916926,56.80846083,2013-08-21,,,
Winter Barley_2015_-2.617_56.601_144385,-2.617229826,56.60069543,2014-09-18,,2015-06-15,
Winter Barley_2015_-2.617_56.601_23233,-2.617229826,56.60069543,2014-09-08,,2015-06-23,
Winter Barley_2015_-3.264_56.079_91913,-3.263877874,56.07915841,2014-09-26,,,
Winter Barley_2016_-2.354_56.808_144683,-2.353916926,56.80846083,,,2017-05-30,
Winter Barley_2016_-2.383_56.897_144594,-2.383025107,56.89678968,,,2016-06-25,
Winter Barley_2016_-2.383_56.897_144733,-2.383025107,56.89678968,,,2017-06-28,
Winter Barley_2016_-2.383_56.897_91784,-2.383025107,56.89678968,2015-08-27,,,
Winter Barley_2016_-2.515_56.793_144680,-2.515218473,56.79293455,,,2017-05-30,
Winter Barley_2016_-2.545_56.881_144587,-2.544687184,56.88122228,2015-08-27,,,
Winter Barley_2016_-2.545_56.881_91765,-2.544687184,56.88122228,2015-08-17,,,
Winter Barley_2016_-2.617_56.601_144754,-2.617229826,56.60069543,,2016-09-20,,2017-05-08
Winter Barley_2016_-2.617_56.601_144756,-2.617229826,56.60069543,,,,2017-05-08
Winter Barley_2016_-2.617_56.601_91762,-2.617229826,56.60069543,2015-08-25,,,
Winter Barley_2017_-2.354_56.808_144936,-2.353916926,56.80846083,2016-09-21,,,
Winter Barley_2017_-2.383_56.897_144976,-2.383025107,56.89678968,2017-09-06,,,
Winter Barley_2017_-2.515_56.793_144979,-2.515218473,56.79293455,2017-09-12,,,
Winter Barley_2017_-2.545_56.881_144844,-2.544687184,56.88122228,2016-09-05,,,
Winter Barley_2018_-3.007_56.288_91861,-3.007184639,56.28813227,2017-09-20,,2018-06-14,2018-08-07
Winter Barley_2018_-3.356_56.343_88279,-3.355663659,56.34340138,2017-09-28,,,
Winter Barley_2018_-3.356_56.343_88284,-3.355663659,56.34340138,2017-09-28,,,
Winter Barley_2019_-2.383_56.897_145268,-2.383025107,56.89678968,2018-08-20,,,
Winter Barley_2019_-2.383_56.897_49872,-2.383025107,56.89678968,2018-08-20,,,2019-07-24
Winter Barley_2019_-2.948_56.112_145267,-2.947533368,56.11179309,2018-09-12,,,
Winter Barley_2019_-3.007_56.288_145274,-3.007184639,56.28813227,2018-09-04,,,2019-03-08
Winter Barley_2019_-3.007_56.288_145278,-3.007184639,56.28813227,2018-09-04,,,2019-03-08
Winter Barley_2019_-3.007_56.288_90533,-3.007184639,56.28813227,2018-09-03,,,
Winter Barley_2019_-3.136_56.184_63634,-3.135855179,56.18370453,2018-10-05,,,
Winter Barley_2019_-3.387_56.431_50418,-3.38659159,56.43146578,2018-09-25,,,2019-07-25
Winter Barley_2019_-3.387_56.431_50729,-3.38659159,56.43146578,2018-09-25,,,2019-07-26
Winter Barley_2019_-3.387_56.431_91208,-3.38659159,56.43146578,2018-09-20,,,2019-07-26
Winter Barley_2020_-2.354_56.808_145399,-2.353916926,56.80846083,2019-09-11,,2020-06-19,2020-07-31
Winter Barley_2020_-2.948_56.112_145396,-2.947533368,56.11179309,2019-09-13,,,2020-07-24
Winter Barley_2020_-3.106_56.096_51891,-3.105767051,56.09557293,2019-10-02,,,
Winter Barley_2020_-3.197_56.36_145409,-3.19652144,56.35994363,2019-08-22,,2020-06-15,2020-07-31
Winter Barley_2020_-3.387_56.431_52391,-3.38659159,56.43146578,2019-09-24,,,2020-07-24
