Max of ObservationDate,,,Column Labels,,,,
Row Labels,Longitude,Latitude,0,65,89,99,Grand Total
Spring Barley_2010_-0.7_53.87_86565,-0.70006701,53.86982027,2010-03-19,,2010-08-19,2010-10-15,2010-10-15
Spring Barley_2010_-2.588_55.51_86548,-2.587734135,55.51010353,2010-04-12,,2010-08-18,,2010-08-18
Spring Barley_2011_-2.988_52.28_89360,-2.988058992,52.27950818,2011-03-22,2011-06-16,2011-08-21,2011-08-23,2011-08-23
Spring Barley_2011_-3.144_55.727_86748,-3.143777727,55.72671922,2011-04-18,2011-07-23,,,2011-07-23
Spring Barley_2012_-1.374_54.081_91635,-1.373960332,54.08113019,2012-03-09,,,,2012-03-09
Spring Barley_2012_-3.046_55.919_86978,-3.046074473,55.91928571,2012-03-02,,2012-08-27,,2012-08-27
Spring Barley_2012_-6.939_52.784_108373,-6.939489592,52.78425138,2012-03-07,,2012-08-20,,2012-08-20
Spring Barley_2012_-6.939_52.784_108377,-6.939489592,52.78425138,2012-05-07,,2012-08-20,2012-08-27,2012-08-27
Spring Barley_2012_-6.939_52.784_108385,-6.939489592,52.78425138,2012-03-07,,2012-08-20,2012-08-24,2012-08-24
Spring Barley_2012_-8.408_51.917_108322,-8.40769858,51.91659612,2012-03-12,,2012-08-21,2012-08-28,2012-08-28
Spring Barley_2013_-2.988_52.28_89350,-2.988058992,52.27950818,2013-04-08,,2013-09-22,2013-10-01,2013-10-01
Spring Barley_2013_-3.174_55.815_87131,-3.173562153,55.8148413,2013-05-04,,,,2013-05-04
Spring Barley_2013_-6.625_52.369_88961,-6.625312437,52.36935414,2013-03-27,,2013-08-12,,2013-08-12
Spring Barley_2013_-6.641_53.194_108485,-6.640971784,53.19449794,,,,2013-09-03,2013-09-03
Spring Barley_2013_-6.641_53.194_108486,-6.640971784,53.19449794,,,,2013-09-03,2013-09-03
Spring Barley_2013_-6.641_53.194_108487,-6.640971784,53.19449794,,,,2013-09-03,2013-09-03
Spring Barley_2013_-6.641_53.194_108488,-6.640971784,53.19449794,,,,2013-09-03,2013-09-03
Spring Barley_2013_-6.641_53.194_108489,-6.640971784,53.19449794,,,,2013-09-03,2013-09-03
Spring Barley_2013_-7.079_53.132_88964,-7.079061895,53.13229759,2013-04-10,,,,2013-04-10
Spring Barley_2013_-8.408_51.917_108301,-8.40769858,51.91659612,2013-04-03,,2013-08-30,2013-09-09,2013-09-09
Spring Barley_2013_-8.408_51.917_90815,-8.40769858,51.91659612,2013-04-03,,,,2013-04-03
Spring Barley_2014_-3.144_55.727_87317,-3.143777727,55.72671922,2014-04-16,,,,2014-04-16
Spring Barley_2014_-3.144_55.727_87321,-3.143777727,55.72671922,2014-04-12,,,,2014-04-12
Spring Barley_2014_-6.589_53.845_108527,-6.589474738,53.84529961,2014-03-29,,,2014-08-30,2014-08-30
Spring Barley_2014_-6.589_53.845_108528,-6.589474738,53.84529961,2014-03-30,,,2014-08-30,2014-08-30
Spring Barley_2014_-6.625_52.369_91458,-6.625312437,52.36935414,2014-04-11,,,,2014-04-11
Spring Barley_2014_-7.003_53.327_108526,-7.003432837,53.32724004,2014-03-20,,,2014-08-20,2014-08-20
Spring Barley_2014_-8.69_51.871_90426,-8.690259366,51.87121701,2014-04-11,,,,2014-04-11
Spring Barley_2015_-3.331_55.798_87576,-3.330535598,55.79835971,2015-04-07,,,,2015-04-07
Spring Barley_2015_-6.829_52.892_108182,-6.829039524,52.89204985,2015-04-01,,,,2015-04-01
Spring Barley_2015_-8.23_51.852_90837,-8.230099465,51.85241043,2015-04-09,,,,2015-04-09
Spring Barley_2015_-8.242_52.959_89860,-8.241514017,52.95872665,2015-04-10,,,,2015-04-10
